sale_year,category,revenue,profit
2026,DRINK,6184.0,1053.07
2026,rice,5456.0,660.8
2026,SEASONINGS,3752.0,521.75
2026,MILK,2230.0,377.26
2026,LPG,2480.0,260.0
2026,PLASTIC PRODUCTS,861.0,211.21
2026,CANDY,1779.0,201.16
2026,CHIPS,1120.0,194.95
2026,TBA,730.0,189.13
2026,BAKING ESSENTIALS,1161.0,183.4
2026,COFFEE,877.0,153.0
2026,BISCUITS,1035.0,142.64
2026,misc,435.0,125.65
2026,oil,1230.0,120.0
2026,POWDERED MILK DRINK,677.0,109.9
2026,SKIN CARE,291.0,91.0
2026,CIGARETTES,1516.0,82.6
2026,SHAMPOO,475.0,81.55
2026,DETERGENT,497.5,76.37
2026,CANNED MILK,590.0,74.73
2026,chip,241.0,70.2
2026,NOODLES,449.0,67.64
2026,CANNED GOODS,506.0,65.9
2026,EGG,610.0,61.0
2026,FEMALE HYGEINE,301.0,58.5
2026,PERSONAL HYGIENE,344.0,58.23
2026,CONDIMENTS,315.0,45.1
2026,LIQUOR,353.0,29.75
2026,FROZEN FOODS,318.0,26.0
2026,none,135.0,25.0
2026,SCHOOL SUPPLIES,188.0,22.6
2026,ICE CREAM,76.0,21.42
2026,BREAD,169.0,21.0
2026,DIAPERS,144.0,18.0
2026,DISH WASHING,117.0,17.8
2026,tools,17.0,17.0
2026,clasic,64.0,16.0
2026,crackers,65.0,15.0
2026,Paper Supplies,150.0,14.0
2026,Prepaid Load,274.0,13.7
2026,SPONGE,46.0,12.0
2026,twin jumbo pack,36.0,6.0
2026,POWDER SOAP,15.0,5.0
2026,MEDICINE,21.0,4.5
2026,DEODORANT,27.0,4.2
2026,CAKE BAR,27.0,3.9
2026,NUTS,14.0,2.52
2026,smoke,21.0,2.1
2025,DRINK,1118008.0,172142.65
2025,TBA,399240.4,87912.13
2025,SEASONINGS,518671.0,78158.96
2025,misc,360830.0,77981.35
2025,BREAD,582728.0,60265.86
2025,CIGARETTES,674792.5,50896.05
2025,BAKING ESSENTIALS,305593.0,50102.43
2025,PLASTIC PRODUCTS,207681.0,46805.85
2025,CANDY,246064.0,45232.52
2025,MILK,266288.0,43465.27
2025,rice,312745.0,39897.7
2025,BISCUITS,283894.0,39665.23
2025,DETERGENT,235861.0,39656.48
2025,PERSONAL HYGIENE,228451.0,38541.2
