sale_year,barcode,item_name,category,revenue,profit
2023,4806506315022,Grand Adult Diaper L2,DIAPERS,53000000003113.945,8750000000369.491
2022,,Karinderya Sales,karinderya,4338220.93,1416782.1869
2023,,Karinderya Sales,karinderya,567640.0,187321.2
2023,,BENTA | Grocery,misc,379846.405,68512.31075
2022,,snackbar sales,snackbar,167376.0,54126.98
2022,,BENTA | Grocery,misc,315546.5,49538.375
2025,,BENTA | Grocery,misc,253419.0,39683.1
2024,,anaiz agogo,CANDY,134747.0,39104.0
2025,3118917538,BENTA | Toys and Candy,misc,107221.0,38246.25
2023,3118917538,BENTA | Toys and Candy,misc,99485.5,36490.75
2023,,anaiz agogo,CANDY,143262.0,35811.0
2024,3118917538,BENTA | Toys and Candy,misc,96479.0,34786.2
2024,,BENTA | Grocery,misc,194717.5,31756.35
2024,,Magnolia 1kl,rice,240521.0,30545.35
2025,,Magnolia 1kl,rice,214868.0,27580.0
2022,3118917538,BENTA | Toys and Candy,misc,69352.0,26620.5
2023,4806503950028,Angelina Medium Loaf,BREAD,213145.0,26379.0
2022,,CHMSC Sales,chmsc,86870.0,26061.0
2022,4806503950028,Angelina Medium Loaf,BREAD,196629.0,24445.25
2024,4806503950028,Angelina Medium Loaf,BREAD,184575.0,22737.5
2025,,egg xl,EGG,112816.0,21537.6
2023,4806503950011,Angelina Super Loaf,BREAD,248056.0,20435.75
2022,4806502720615,Gardenia Classic 600g,BREAD,202243.0,20230.75
2025,6200197058,Wash Sugar 1kl,BAKING ESSENTIALS,91054.0,20102.0
2024,4806503950011,Angelina Super Loaf,BREAD,224458.0,18915.0
2025,,anaiz agogo,CANDY,60684.0,18672.0
2023,4806502720615,Gardenia Classic 600g,BREAD,196641.0,18362.6
2022,4806503950011,Angelina Super Loaf,BREAD,200001.0,18189.25
2023,7714122559,Smart Load,Prepaid Load,265017.0,18155.44
2022,8048257404,Egg XL,EGG,55417.25,17404.95
2023,8048257404,Egg XL,EGG,142678.25,16706.45
2025,4800016068010, C2 solo apple 230ml,DRINK,16695.0,16695.0
2025,7858970207,Ice cube I BAg big,TBA,32400.0,16200.0
2025,748485150079,COCO MAMA FRESH GATA  200ml,MILK,15737.0,15323.0
2024,7858970207,Ice cube I BAg big,TBA,30610.0,15015.0
2024,,HASMIN 1K,rice,111371.0,14778.1
2024,4801981116072,Coke 1.5L,DRINK,141965.0,14739.1
2023,52463214264324200000,GLOBE LOAD,Prepaid Load,164800.0,14134.75
2025,4806503950028,Angelina Medium Loaf,BREAD,125586.0,14002.0
2024,4800177075209,Camel red stick,CIGARETTES,83342.05,13425.775
2024,6200197058,Wash Sugar 1kl,BAKING ESSENTIALS,100608.0,12814.0
2023,4801981116072,Coke 1.5L,DRINK,117243.0,12581.95
2024,9877656789,Coy & Dags Calamansi Juice,DRINK,44625.0,12495.0
2024,4806502720615,Gardenia Classic 600g,BREAD,132411.0,12054.9
2025,4800177075209,Camel red stick,CIGARETTES,77572.0,12016.9
2022,054028367911,Yakult 5s,DRINK,80552.0,11914.5
2025,4806503950011,Angelina Super Loaf,BREAD,137481.0,11774.5
2024,8048257404,Egg XL,EGG,99664.5,11354.0
2025,12334321123,Egg  XL Taala 1 Tray,EGG,113155.0,11315.5
2022,4329306190,Coke Swakto 1 Case,DRINK,37534.0,11015.0
2025,9877656789,Coy & Dags Calamansi Juice,DRINK,38900.0,10892.0
2025,,Prycegas 11kg,LPG,101680.0,10660.0
2023,9877656789,Coy & Dags Calamansi Juice,DRINK,36775.0,10297.0
2024,4800361339568,nescafe stick,clasic,10233.0,10233.0
2025,,Banana Chip,banana,28755.0,9585.0
2023,12334321123,Egg  XL Taala 1 Tray,EGG,83515.0,9543.0
2022,4801981116072,Coke 1.5L,DRINK,54551.0,9330.8
2025,4800049720190,Wet water 500ml,DRINK,18660.0,9330.0
2023,,HASMIN 1K,rice,77141.0,9094.69
2023,6203280743,Wash Sugar 1/2KL,BAKING ESSENTIALS,54480.0,9080.0
2024,4219729679,Rock Salt 1kl,SEASONINGS,19460.0,9035.0
2024,4800049720114,Natures 500ml,DRINK,23312.0,8887.7
2023,4800049720121,Natures Purified 1L,DRINK,20712.0,8869.4
2024,12334321123,Egg  XL Taala 1 Tray,EGG,88145.0,8814.5
2024,4800049720121,Natures Purified 1L,DRINK,24504.0,8780.6
2025,4806502720615,Gardenia Classic 600g,BREAD,76297.0,8504.9
2024,4329306190,Coke Swakto 1 Case,DRINK,83460.0,8391.0
2023,4800177075209,Camel red stick,CIGARETTES,111655.5,8220.05
2024,4800361410816,BearBrand Swak 33g,POWDERED MILK DRINK,70428.0,8216.6
2022,7714122559,Smart Load,Prepaid Load,125594.0,8175.15
2024,52463214264324200000,GLOBE LOAD,Prepaid Load,93717.0,8133.4
2025,4219729679,Rock Salt 1kl,SEASONINGS,16828.0,7813.0
2023,054028367911,Yakult 5s,DRINK,68398.0,7444.0
2025,4806504172437,Plastic Gilas Tiny,PLASTIC PRODUCTS,25575.0,7314.45
2025,,chicharon baboy big,crackers,31304.0,7224.0
