category_a,category_b,attachment_count
DRINK,BISCUITS,6871
BISCUITS,DRINK,5251
CHIPS,DRINK,4709
DETERGENT,PERSONAL HYGIENE,4681
PERSONAL HYGIENE,SHAMPOO,4536
DETERGENT,SHAMPOO,4526
TBA,DRINK,4480
SHAMPOO,PERSONAL HYGIENE,4456
CHIPS,BISCUITS,4250
DRINK,BREAD,4112
DRINK,CANDY,4072
POWDERED MILK DRINK,COFFEE,3887
DRINK,CHIPS,3865
PERSONAL HYGIENE,DETERGENT,3858
TBA,BISCUITS,3853
DRINK,TBA,3834
SHAMPOO,DETERGENT,3710
TBA,PERSONAL HYGIENE,3544
DRINK,misc,3454
CIGARETTES,DRINK,3173
BISCUITS,CANDY,3071
BREAD,CONDIMENTS,3067
TBA,BREAD,3054
COFFEE,POWDERED MILK DRINK,3019
BISCUITS,CHIPS,2960
TBA,DETERGENT,2950
CONDIMENTS,BREAD,2910
SEASONINGS,TBA,2903
CHIPS,CANDY,2875
TBA,CANDY,2868
TBA,misc,2849
BISCUITS,TBA,2773
CANDY,BISCUITS,2653
CANNED GOODS,NOODLES,2649
DRINK,PERSONAL HYGIENE,2586
CANDY,DRINK,2560
TBA,CHIPS,2544
CHIPS,TBA,2526
CHIPS,BREAD,2506
TBA,SHAMPOO,2429
PERSONAL HYGIENE,TBA,2416
SEASONINGS,CANNED GOODS,2386
BAKING ESSENTIALS,SEASONINGS,2342
misc,DRINK,2340
CANNED GOODS,SEASONINGS,2331
POWDERED MILK DRINK,DETERGENT,2305
DETERGENT,TBA,2260
misc,CANDY,2243
BISCUITS,BREAD,2238
TBA,SEASONINGS,2234
CANNED GOODS,TBA,2207
SEASONINGS,BAKING ESSENTIALS,2184
POWDERED MILK DRINK,PERSONAL HYGIENE,2182
SEASONINGS,BREAD,2145
POWDERED MILK DRINK,BREAD,2136
SEASONINGS,DETERGENT,2135
COFFEE,DETERGENT,2101
POWDERED MILK DRINK,SHAMPOO,2072
CANNED GOODS,BREAD,2046
BISCUITS,PERSONAL HYGIENE,2029
CIGARETTES,misc,2018
SEASONINGS,DRINK,1978
DISH WASHING,DETERGENT,1952
POWDERED MILK DRINK,BISCUITS,1950
DRINK,DETERGENT,1941
CANNED GOODS,DRINK,1931
COFFEE,PERSONAL HYGIENE,1927
TBA,COFFEE,1856
COFFEE,SHAMPOO,1855
