sale_year,sale_month,category,revenue,profit
2026,1,BAKING ESSENTIALS,1161.0,183.4
2026,1,BISCUITS,1035.0,142.64
2026,1,BREAD,169.0,21.0
2026,1,CAKE BAR,27.0,3.9
2026,1,CANDY,1779.0,201.16
2026,1,CANNED GOODS,506.0,65.9
2026,1,CANNED MILK,590.0,74.73
2026,1,chip,241.0,70.2
2026,1,CHIPS,1120.0,194.95
2026,1,CIGARETTES,1516.0,82.6
2026,1,clasic,64.0,16.0
2026,1,COFFEE,877.0,153.0
2026,1,CONDIMENTS,315.0,45.1
2026,1,crackers,65.0,15.0
2026,1,DEODORANT,27.0,4.2
2026,1,DETERGENT,497.5,76.37
2026,1,DIAPERS,144.0,18.0
2026,1,DISH WASHING,117.0,17.8
2026,1,DRINK,6184.0,1053.07
2026,1,EGG,610.0,61.0
2026,1,FEMALE HYGEINE,301.0,58.5
2026,1,FROZEN FOODS,318.0,26.0
2026,1,ICE CREAM,76.0,21.42
2026,1,LIQUOR,353.0,29.75
2026,1,LPG,2480.0,260.0
2026,1,MEDICINE,21.0,4.5
2026,1,MILK,2230.0,377.26
2026,1,misc,435.0,125.65
2026,1,none,135.0,25.0
2026,1,NOODLES,449.0,67.64
2026,1,NUTS,14.0,2.52
2026,1,oil,1230.0,120.0
2026,1,Paper Supplies,150.0,14.0
2026,1,PERSONAL HYGIENE,344.0,58.23
2026,1,PLASTIC PRODUCTS,861.0,211.21
2026,1,POWDER SOAP,15.0,5.0
2026,1,POWDERED MILK DRINK,677.0,109.9
2026,1,Prepaid Load,274.0,13.7
2026,1,rice,5456.0,660.8
2026,1,SCHOOL SUPPLIES,188.0,22.6
2026,1,SEASONINGS,3752.0,521.75
2026,1,SHAMPOO,475.0,81.55
2026,1,SKIN CARE,291.0,91.0
2026,1,smoke,21.0,2.1
2026,1,SPONGE,46.0,12.0
2026,1,TBA,730.0,189.13
2026,1,tools,17.0,17.0
2026,1,twin jumbo pack,36.0,6.0
2025,3,baby saop,25.0,25.0
2025,3,BAKING ESSENTIALS,30260.0,4415.75
2025,3,BATTERY,2720.0,339.76
2025,3,beauty product,30.0,5.0
2025,3,BISCUITS,29999.0,4221.15
2025,3,BREAD,56983.0,6063.5
2025,3,brooms,188.0,188.0
2025,3,CAKE BAR,261.0,42.88
2025,3,can,108.0,15.0
2025,3,CANDY,26108.0,5134.3
2025,3,CANNED GOODS,31172.0,3691.07
2025,3,CANNED MILK,15359.0,1915.79
2025,3,CEREAL,2092.0,274.3
2025,3,chip,48.0,6.6
